rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,RO,data\a1,RandomForestRegressor,4,35.088273705,fixed_params
0.84,RO,data\a1,RandomForestRegressor,5,33.07367535,fixed_params
0.84,RO,data\a1,RandomForestRegressor,6,1378.7419645750006,fixed_params
0.84,RO,data\a1,RandomForestRegressor,7,19.95826488,fixed_params
0.84,RO,data\a1,RandomForestRegressor,8,7118.214493739999,fixed_params
0.84,RO,data\a1,RandomForestRegressor,9,5834.280741774998,fixed_params
0.84,RO,data\a1,RandomForestRegressor,10,1730.3370571649968,fixed_params
0.84,RO,data\a1,RandomForestRegressor,11,1454.10968252,fixed_params
0.84,RO,data\a1,RandomForestRegressor,12,2980.144773049997,fixed_params
0.84,RO,data\a1,RandomForestRegressor,13,46.209979114999996,fixed_params
0.84,RO,data\a1,RandomForestRegressor,14,40.62594611,fixed_params
0.84,RO,data\a1,RandomForestRegressor,15,36.38830373500001,fixed_params
0.84,RO,data\a1,RandomForestRegressor,16,2367.8084826150002,fixed_params
0.84,RO,data\a1,RandomForestRegressor,17,145.20402016499986,fixed_params
0.84,RO,data\a1,RandomForestRegressor,18,3875.2693363700014,fixed_params
0.84,RO,data\a1,RandomForestRegressor,19,3041.265751025001,fixed_params
0.84,RO,data\a1,SVR,0,50.4891926429817,fixed_params
0.84,RO,data\a1,SVR,1,2317.816725842972,fixed_params
0.84,RO,data\a1,SVR,2,4963.066289731211,fixed_params
0.84,RO,data\a1,SVR,3,2744.5348105541257,fixed_params
0.84,RO,data\a1,SVR,4,35.52700215526613,fixed_params
0.84,RO,data\a1,SVR,5,52.53598795809577,fixed_params
0.84,RO,data\a1,SVR,6,1365.0819147033446,fixed_params
0.84,RO,data\a1,SVR,7,28.23726801915703,fixed_params
0.84,RO,data\a1,SVR,8,6656.045324820243,fixed_params
0.84,RO,data\a1,SVR,9,7863.946333159676,fixed_params
0.84,RO,data\a1,SVR,10,5395.282140218583,fixed_params
0.84,RO,data\a1,SVR,11,1998.3612837139017,fixed_params
0.84,RO,data\a1,SVR,12,4506.070776634501,fixed_params
0.84,RO,data\a1,SVR,13,41.24768929909497,fixed_params
0.84,RO,data\a1,SVR,14,54.34086778365012,fixed_params
0.84,RO,data\a1,SVR,15,42.711473987881334,fixed_params
0.84,RO,data\a1,SVR,16,2928.294667349185,fixed_params
0.84,RO,data\a1,SVR,17,1314.2712657309282,fixed_params
0.84,RO,data\a1,SVR,18,5507.575174697491,fixed_params
0.84,RO,data\a1,SVR,19,4547.171260839231,fixed_params
0.84,RO,data\a1,XGBRegressor,0,39.567554029762725,fixed_params
0.84,RO,data\a1,XGBRegressor,1,2972.416320383412,fixed_params
0.84,RO,data\a1,XGBRegressor,2,5171.432048543954,fixed_params
0.84,RO,data\a1,XGBRegressor,3,324.27795523680527,fixed_params
0.84,RO,data\a1,XGBRegressor,4,46.93607519023524,fixed_params
0.84,RO,data\a1,XGBRegressor,5,39.03771865912707,fixed_params
0.84,RO,data\a1,XGBRegressor,6,3681.4895660817374,fixed_params
0.84,RO,data\a1,XGBRegressor,7,17.473327417976453,fixed_params
0.84,RO,data\a1,XGBRegressor,8,7903.954415382049,fixed_params
0.84,RO,data\a1,XGBRegressor,9,4360.848885698961,fixed_params
0.84,RO,data\a1,XGBRegressor,10,3913.35136791001,fixed_params
0.84,RO,data\a1,XGBRegressor,11,4462.433429430568,fixed_params
0.84,RO,data\a1,XGBRegressor,12,3280.2946104697294,fixed_params
0.84,RO,data\a1,XGBRegressor,13,60.90435065957769,fixed_params
0.84,RO,data\a1,XGBRegressor,14,45.6881600477329,fixed_params
0.84,RO,data\a1,XGBRegressor,15,52.69011491239428,fixed_params
0.84,RO,data\a1,XGBRegressor,16,2027.5932877453472,fixed_params
0.84,RO,data\a1,XGBRegressor,17,798.7399672715657,fixed_params
0.84,RO,data\a1,XGBRegressor,18,5062.738288023316,fixed_params
0.84,RO,data\a1,XGBRegressor,19,4819.795460481971,fixed_params
0.84,RU,data\a1,BaggingRegressor,0,39.6523175,fixed_params
0.84,RU,data\a1,BaggingRegressor,1,2046.7077975,fixed_params
0.84,RU,data\a1,BaggingRegressor,2,4095.239554500001,fixed_params
0.84,RU,data\a1,BaggingRegressor,3,428.95048199999997,fixed_params
0.84,RU,data\a1,BaggingRegressor,4,35.7863185,fixed_params
0.84,RU,data\a1,BaggingRegressor,5,30.101282499999996,fixed_params
0.84,RU,data\a1,BaggingRegressor,6,2910.0163675000003,fixed_params
0.84,RU,data\a1,BaggingRegressor,7,34.26220650000001,fixed_params
0.84,RU,data\a1,BaggingRegressor,8,6979.161516999999,fixed_params
0.84,RU,data\a1,BaggingRegressor,9,4940.429373,fixed_params
0.84,RU,data\a1,BaggingRegressor,10,3893.9448295,fixed_params
0.84,RU,data\a1,BaggingRegressor,11,2954.2511300000006,fixed_params
0.84,RU,data\a1,BaggingRegressor,12,4400.5516885,fixed_params
0.84,RU,data\a1,BaggingRegressor,13,41.38320349999999,fixed_params
0.84,RU,data\a1,BaggingRegressor,14,43.31260300000001,fixed_params
0.84,RU,data\a1,BaggingRegressor,15,43.42801550000001,fixed_params
0.84,RU,data\a1,BaggingRegressor,16,3048.5954105,fixed_params
0.84,RU,data\a1,BaggingRegressor,17,322.7113714999998,fixed_params
0.84,RU,data\a1,BaggingRegressor,18,3692.610112500001,fixed_params
0.84,RU,data\a1,BaggingRegressor,19,2871.5841070000006,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,0,101.5475,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,1,3229.1797000000006,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,2,6391.977200000002,fixed_params
